Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sun Dec 14 20:23:22 CET 2025,POST,https://localhost:8000/api/register,201,Created,704,461,150,955,24,,,[]
1,Fuzzed,Sun Dec 14 22:50:19 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,639,462,1718,1151,35,,,[Ilica 1]
9,Fuzzed,Sun Dec 14 22:50:19 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,680,462,1763,1153,35,,,[AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA]
8,Fuzzed,Sun Dec 14 22:50:19 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,704,462,1721,1157,35,,,[AAAAAAAAAA]
7,Fuzzed,Sun Dec 14 22:50:19 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,752,462,1721,1149,35,,,[1234567890]
4,Fuzzed,Sun Dec 14 22:50:19 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,791,462,1718,1155,35,,,[Ulica A]
2,Fuzzed,Sun Dec 14 22:50:19 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,801,462,1731,1149,35,,,[Trg bana Jelačića 10]
5,Fuzzed,Sun Dec 14 22:50:19 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,801,462,1712,1153,35,,,[U]
10,Fuzzed,Sun Dec 14 22:50:19 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,766,462,1726,1151,35,,,"[Ilica 1, Zagreb]"
3,Fuzzed,Sun Dec 14 22:50:19 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,862,462,1731,1153,35,,,[Zagrebačka ulica 123]
6,Fuzzed,Sun Dec 14 22:50:19 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,867,462,1714,1149,35,,,[123]
