Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sun Dec 14 20:23:22 CET 2025,POST,https://localhost:8000/api/register,201,Created,704,461,150,955,24,,,[]
3,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,400,Bad Request,110,462,1723,1151,34,,,[]
7,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,196,462,1743,641,676,,,[12345678901234567890]
6,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,209,462,1735,643,676,,,[123456789012]
2,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,233,462,1734,641,697,,Reflected,[88721173004]
5,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,245,462,1733,643,696,,Reflected,[1234567890]
8,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,342,462,1727,645,690,,Reflected,[null]
1,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,497,462,1734,647,697,,Reflected,[39851043852]
4,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,494,462,1724,645,687,,Reflected,[1]
11,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,380,462,1725,645,688,,Reflected,[{}]
9,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,435,462,1732,643,695,,Reflected,[undefined]
13,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,306,462,1728,643,691,,Reflected,[false]
10,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,449,462,1725,645,688,,Reflected,[[]]
15,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,278,462,1734,643,697,,Reflected,[1234567890A]
12,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,309,462,1727,645,690,,Reflected,[true]
14,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,296,462,1734,645,697,,Reflected,[AAAAAAAAAAA]
16,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,229,462,1734,643,697,,Reflected,[ABC51043852]
17,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,168,462,1736,643,676,,,[123-456-78901]
18,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,173,462,1737,641,676,,,[398.510.438.52]
20,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,190,462,1735,641,676,,,[ 39851043852]
21,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,214,462,1724,643,691,,,[']
19,Fuzzed,Sun Dec 14 22:21:32 CET 2025,POST,https://localhost:8000/api/register,500,Internal Server Error,262,462,1734,641,697,,Reflected,[3985104385 ]
